Brain Regions,Subdivision,(ID) Region Label,Count
"PCC, Precuneus","A5m, medial area 5(PEm)","(149), Pcun_L_4_2",497
Prefrontal Cortex,"A8vl, ventrolateral area 8","(24), MFG_R_7_5",496
Prefrontal Cortex,"IFS, inferior frontal sulcus","(32), IFG_R_6_2",496
Middle Temporal Gyrus,"A28/34, area 28/34 (EC, entorhinal cortex)","(115), PhG_L_6_4",494
Prefrontal Cortex,"A11l, lateral area 11","(45), OrG_L_6_3",492
Middle Temporal Gyrus,"A35/36c, caudal area 35/36","(112), PhG_R_6_2",492
"PCC, Precuneus","dmPOS, dorsomeidal parietooccipital  sulcus(PEr)","(151), Pcun_L_4_3",490
Inferior Parietal Lobe,"A39c, caudal area 39(PGp)","(135), IPL_L_6_1",489
Striatum,"dCa, dorsal caudate","(227), Str_L_6_5",487
Inferior Parietal Lobe,"A39rd, rostrodorsal area 39(Hip3)","(138), IPL_R_6_2",485
Middle Temporal Gyrus,"A35/36c, caudal area 35/36","(111), PhG_L_6_2",484
Prefrontal Cortex,"A9l, lateral area 9","(6), SFG_R_7_3",483
Cingulate Gyrus,"A23d, dorsal area 23","(176), CG_R_7_1",482
Prefrontal Cortex,"A9l, lateral area 9","(5), SFG_L_7_3",480
Middle Temporal Gyrus,"mAmyg, medial amyg","(211), Amyg_L_2_1",480
Prefrontal Cortex,"IFJ, inferior frontal junction","(17), MFG_L_7_2",479
Prefrontal Cortex,"A9m,medial area 9","(12), SFG_R_7_6",477
Inferior Temporal Gyrus,"A20r, rostral area 20","(94), ITG_R_7_3",470
Middle Temporal Gyrus,"A28/34, area 28/34 (EC, entorhinal cortex)","(116), PhG_R_6_4",467
"PCC, Precuneus","dmPOS, dorsomeidal parietooccipital  sulcus(PEr)","(152), Pcun_R_4_3",451
Inferior Temporal Gyrus,"A37vm, ventromedial area37","(92), ITG_R_7_2",448
Inferior Temporal Gyrus,"A37vl, ventrolatral area37","(108), FuG_R_3_3",443
Prefrontal Cortex,"A8m, medial area 8","(1), SFG_L_7_1",441
Prefrontal Cortex,"A9m,medial area 9","(11), SFG_L_7_6",440
Inferior Parietal Lobe,"A40rd, rostrodorsal area 40(PFt)","(139), IPL_L_6_3",439
Thalamus,"Otha, occipital thalamus","(242), Tha_R_8_6",437
Prefrontal Cortex,"IFJ, inferior frontal junction","(18), MFG_R_7_2",436
Striatum,"vmPu, ventromedial putamen","(226), Str_R_6_4",436
"PCC, Precuneus","A7m, medial area 7(PEp)","(147), Pcun_L_4_1",434
Striatum,"dlPu, dorsolateral putamen","(230), Str_R_6_6",427
Superior Parietal Lobule,"A7ip, intraparietal area 7(hIP3)","(126), SPL_R_5_1",425
Middle Temporal Gyrus,"A35/36r, rostral area 35/36","(109), PhG_L_6_1",423
Striatum,"GP, globus pallidus","(222), Str_R_6_2",419
Prefrontal Cortex,"A11m, medial area 11","(47), OrG_L_6_4",413
Striatum,"dCa, dorsal caudate","(228), Str_R_6_5",412
Thalamus,"Otha, occipital thalamus","(241), Tha_L_8_6",410
Prefrontal Cortex,"A45c, caudal area 45","(34), IFG_R_6_3",406
Cingulate Gyrus,"A23d, dorsal area 23","(175), CG_L_7_1",405
Prefrontal Cortex,"A12/47o, orbital area 12/47","(44), OrG_R_6_2",404
"PCC, Precuneus","A5m, medial area 5(PEm)","(150), Pcun_R_4_2",404
Occipital Gyrus,"lsOccG, lateral superior occipital gyrus","(210), sOcG_R_2_2",404
Superior Temporal Gyrus,"A38l, lateral area 38","(78), STG_R_6_5",403
Middle Temporal Gyrus,"A21r, rostral area 21","(84), MTG_R_4_2",400
"PCC, Precuneus","cLinG, caudal lingual gyrus","(190), Cun_R_5_1",398
Striatum,"vCa, ventral caudate","(219), Str_L_6_1",398
Prefrontal Cortex,"A10l, lateral area10","(28), MFG_R_7_7",397
Prefrontal Cortex,"A11m, medial area 11","(48), OrG_R_6_4",394
Middle Temporal Gyrus,"mAmyg, medial amyg","(212), Amyg_R_2_1",390
Inferior Temporal Gyrus,"A20il, intermediate lateral area 20","(96), ITG_R_7_4",388
Prefrontal Cortex,"A10m, medial area 10","(13), SFG_L_7_7",382
