Brain Regions,Subdivision,(ID) Region Label,Count
Striatum,"dCa, dorsal caudate","(227), Str_L_6_5",499
Thalamus,"Otha, occipital thalamus","(242), Tha_R_8_6",498
Prefrontal Cortex,"IFJ, inferior frontal junction","(17), MFG_L_7_2",497
Middle Temporal Gyrus,"A35/36c, caudal area 35/36","(112), PhG_R_6_2",496
Prefrontal Cortex,"IFS, inferior frontal sulcus","(32), IFG_R_6_2",493
Inferior Temporal Gyrus,"A37vm, ventromedial area37","(92), ITG_R_7_2",492
Inferior Parietal Lobe,"A39c, caudal area 39(PGp)","(135), IPL_L_6_1",491
Middle Temporal Gyrus,"A35/36r, rostral area 35/36","(109), PhG_L_6_1",490
"PCC, Precuneus","A5m, medial area 5(PEm)","(149), Pcun_L_4_2",490
Thalamus,"Otha, occipital thalamus","(241), Tha_L_8_6",490
Middle Temporal Gyrus,"A21r, rostral area 21","(84), MTG_R_4_2",488
Prefrontal Cortex,"A8vl, ventrolateral area 8","(24), MFG_R_7_5",487
Middle Temporal Gyrus,"A28/34, area 28/34 (EC, entorhinal cortex)","(115), PhG_L_6_4",487
Inferior Temporal Gyrus,"A20r, rostral area 20","(94), ITG_R_7_3",485
Superior Temporal Gyrus,"A38l, lateral area 38","(78), STG_R_6_5",484
Middle Temporal Gyrus,"A35/36c, caudal area 35/36","(111), PhG_L_6_2",484
Precentral Gyrus,"A4hf, area 4(head and face region)","(54), PrG_R_6_1",478
Middle Temporal Gyrus,"A28/34, area 28/34 (EC, entorhinal cortex)","(116), PhG_R_6_4",475
Inferior Temporal Gyrus,"A20il, intermediate lateral area 20","(96), ITG_R_7_4",470
Prefrontal Cortex,"A9m,medial area 9","(12), SFG_R_7_6",466
Inferior Temporal Gyrus,"A20r, rostral area 20","(93), ITG_L_7_3",466
Prefrontal Cortex,"A9l, lateral area 9","(5), SFG_L_7_3",463
Prefrontal Cortex,"A9l, lateral area 9","(6), SFG_R_7_3",462
Cingulate Gyrus,"A23v, ventral area 23","(181), CG_L_7_4",461
Inferior Parietal Lobe,"A39rd, rostrodorsal area 39(Hip3)","(138), IPL_R_6_2",460
Prefrontal Cortex,"A11l, lateral area 11","(45), OrG_L_6_3",458
Middle Temporal Gyrus,"mAmyg, medial amyg","(212), Amyg_R_2_1",458
Cingulate Gyrus,"A23v, ventral area 23","(182), CG_R_7_4",456
Inferior Parietal Lobe,"A40rd, rostrodorsal area 40(PFt)","(139), IPL_L_6_3",454
Middle Temporal Gyrus,"mAmyg, medial amyg","(211), Amyg_L_2_1",452
"PCC, Precuneus","dmPOS, dorsomeidal parietooccipital  sulcus(PEr)","(151), Pcun_L_4_3",451
Superior Parietal Lobule,"A7ip, intraparietal area 7(hIP3)","(126), SPL_R_5_1",444
Striatum,"dCa, dorsal caudate","(228), Str_R_6_5",436
Superior Temporal Gyrus,"A38m, medial area 38","(70), STG_R_6_1",432
Precentral Gyrus,"A4t, area 4(trunk region)","(60), PrG_R_6_4",430
Prefrontal Cortex,"A12/47o, orbital area 12/47","(44), OrG_R_6_2",428
Superior Temporal Gyrus,"A38m, medial area 38","(69), STG_L_6_1",428
Postcentral Gyrus,"A2, area 2","(160), PoG_R_4_3",426
"PCC, Precuneus","cLinG, caudal lingual gyrus","(190), Cun_R_5_1",422
Prefrontal Cortex,"A6vl, ventrolateral area 6","(25), MFG_L_7_6",419
Cingulate Gyrus,"A23d, dorsal area 23","(176), CG_R_7_1",419
Thalamus,"cTtha, caudal Temporal thalamus","(243), Tha_L_8_7",419
Thalamus,"rTtha, rostral Temporal thalamus","(238), Tha_R_8_4",418
Prefrontal Cortex,"A45c, caudal area 45","(34), IFG_R_6_3",415
Striatum,"GP, globus pallidus","(222), Str_R_6_2",413
Cingulate Gyrus,"A23c, caudal area 24","(185), CG_L_7_6",410
Prefrontal Cortex,"A13, area 13","(49), OrG_L_6_5",406
Prefrontal Cortex,"A9m,medial area 9","(11), SFG_L_7_6",404
Inferior Temporal Gyrus,"A37vm, ventromedial area37","(91), ITG_L_7_2",404
Prefrontal Cortex,"A46, area 46","(19), MFG_L_7_3",396
