Brain Regions,Subdivision,(ID) Region Label,Count
Prefrontal Cortex,"IFJ, inferior frontal junction","(17), MFG_L_7_2",499
Prefrontal Cortex,"IFS, inferior frontal sulcus","(32), IFG_R_6_2",499
Inferior Parietal Lobe,"A39rd, rostrodorsal area 39(Hip3)","(138), IPL_R_6_2",499
Prefrontal Cortex,"A8vl, ventrolateral area 8","(24), MFG_R_7_5",498
Precentral Gyrus,"A4hf, area 4(head and face region)","(54), PrG_R_6_1",498
Prefrontal Cortex,"A9l, lateral area 9","(6), SFG_R_7_3",494
Inferior Temporal Gyrus,"A37vm, ventromedial area37","(92), ITG_R_7_2",494
Middle Temporal Gyrus,"A28/34, area 28/34 (EC, entorhinal cortex)","(116), PhG_R_6_4",491
Thalamus,"Otha, occipital thalamus","(241), Tha_L_8_6",491
Thalamus,"Otha, occipital thalamus","(242), Tha_R_8_6",491
Superior Temporal Gyrus,"A38l, lateral area 38","(78), STG_R_6_5",490
"PCC, Precuneus","A5m, medial area 5(PEm)","(149), Pcun_L_4_2",490
"PCC, Precuneus","dmPOS, dorsomeidal parietooccipital  sulcus(PEr)","(152), Pcun_R_4_3",490
"PCC, Precuneus","dmPOS, dorsomeidal parietooccipital  sulcus(PEr)","(151), Pcun_L_4_3",489
Prefrontal Cortex,"IFJ, inferior frontal junction","(18), MFG_R_7_2",487
Prefrontal Cortex,"A45c, caudal area 45","(34), IFG_R_6_3",486
Striatum,"dlPu, dorsolateral putamen","(230), Str_R_6_6",486
Prefrontal Cortex,"A44d,dorsal area 44","(30), IFG_R_6_1",484
Paracentral Lobule,"A4ll, area 4, (lower limb region)","(67), PCL_L_2_2",482
Striatum,"dCa, dorsal caudate","(227), Str_L_6_5",482
Prefrontal Cortex,"A9l, lateral area 9","(5), SFG_L_7_3",481
Thalamus,"rTtha, rostral Temporal thalamus","(238), Tha_R_8_4",481
Middle Temporal Gyrus,"A35/36c, caudal area 35/36","(111), PhG_L_6_2",478
Superior Parietal Lobule,"A7ip, intraparietal area 7(hIP3)","(126), SPL_R_5_1",476
Inferior Parietal Lobe,"A39c, caudal area 39(PGp)","(135), IPL_L_6_1",475
Cingulate Gyrus,"A23v, ventral area 23","(182), CG_R_7_4",474
Middle Temporal Gyrus,"A21r, rostral area 21","(84), MTG_R_4_2",470
Middle Temporal Gyrus,"A35/36c, caudal area 35/36","(112), PhG_R_6_2",468
Occipital Gyrus,"msOccG, medial superior occipital gyrus","(208), sOcG_R_2_1",468
"PCC, Precuneus","cLinG, caudal lingual gyrus","(190), Cun_R_5_1",466
Cingulate Gyrus,"A23v, ventral area 23","(181), CG_L_7_4",465
Precentral Gyrus,"A4t, area 4(trunk region)","(59), PrG_L_6_4",461
Prefrontal Cortex,"A9m,medial area 9","(12), SFG_R_7_6",454
Striatum,"dlPu, dorsolateral putamen","(229), Str_L_6_6",450
Middle Temporal Gyrus,"A35/36r, rostral area 35/36","(109), PhG_L_6_1",449
"PCC, Precuneus","A7m, medial area 7(PEp)","(147), Pcun_L_4_1",448
"PCC, Precuneus","A31, area 31 (Lc1)","(153), Pcun_L_4_4",446
Postcentral Gyrus,"A2, area 2","(160), PoG_R_4_3",446
Superior Parietal Lobule,"A7pc, postcentral area 7","(130), SPL_R_5_3",444
"PCC, Precuneus","A7m, medial area 7(PEp)","(148), Pcun_R_4_1",444
Precentral Gyrus,"A4t, area 4(trunk region)","(60), PrG_R_6_4",442
Prefrontal Cortex,"A9m,medial area 9","(11), SFG_L_7_6",441
Striatum,"dCa, dorsal caudate","(228), Str_R_6_5",439
Occipital Gyrus,"msOccG, medial superior occipital gyrus","(207), sOcG_L_2_1",439
"PCC, Precuneus","A31, area 31 (Lc1)","(154), Pcun_R_4_4",437
"PCC, Precuneus","A5m, medial area 5(PEm)","(150), Pcun_R_4_2",425
"PCC, Precuneus","rLinG, rostral lingual gyrus","(195), Cun_L_5_4",425
Prefrontal Cortex,"A11l, lateral area 11","(45), OrG_L_6_3",416
Prefrontal Cortex,"A46, area 46","(19), MFG_L_7_3",409
Thalamus,"PPtha, posterior parietal thalamus","(240), Tha_R_8_5",409
